batsman_id,batsman_name,bowler_id,bowler_name,comm_text,dismissal_type,inns,is_dismissal,match,over_ball,runs,series
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"and again. Full and wide, moving away further. Bhuvneshwar drives but the ball beats the bat",,2.0,False,1122276,50.3,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,this time he lets it go. A tad closer to off,,2.0,False,1122276,50.4,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"full delivery around off, skewed off the outside half towards point",,2.0,False,1122276,50.5,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"digs that in, down leg, Bhuvneshwar gets underneath",,2.0,False,1122276,50.6,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"full delivery outside off, Pandya strides forward and caresses a drive to cover",,2.0,False,1122276,51.1,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"short delivery outside off, Pandya comes forward but lets the ball go. 141 kph",,2.0,False,1122276,51.2,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"swatted away over mid-off for four. Fifty for Pandya. Fine counter-attacking effort. Short and wide, slapped over the infield",,2.0,False,1122276,51.3,4,18065
625371,Hardik Pandya,46538,Morne Morkel,"a short and wide delivery again outside off, 141 kph. Pandya lets it go",,2.0,False,1122276,51.4,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"full delivery outside off, 140 kph, seams away and beats the bat. Keeps happening at Newlands. Which is why this counter-attacking approach has worked",,2.0,False,1122276,51.5,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"back of a length around off, 139 kph, dabbed away by his feet. He wants one but it isn't there",,2.0,False,1122276,51.6,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"full and outside off, Bhuvi flirts with it but his advances are to little avail",,2.0,False,1122276,52.1,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,goes for the on-the-up drive through cover - a glory shot - and he's comfortably beaten,,2.0,False,1122276,52.2,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"back of a length and outside off, Bhuvi returns to his senses and begins leaving the ball again",,2.0,False,1122276,52.3,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,blocks a shortish delivery outside off and gets off the mark off his 34th delivery,,2.0,False,1122276,52.4,1,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"ramps it over the wicketkeeper. He likes playing that shot but this time it is unintentional. The ball is meant to go to the third man boundary, but it goes off the top edge, and lobs over the long stop placed specifically to catch these",,2.0,False,1122276,52.5,4,18065
625371,Hardik Pandya,550215,Kagiso Rabada,"back of a length and outside off, cuts to point",,2.0,False,1122276,52.6,1,18065
625371,Hardik Pandya,46538,Morne Morkel,nudges a length ball off middle to deep midwicket,,2.0,False,1122276,53.1,2,18065
625371,Hardik Pandya,46538,Morne Morkel,cramps him for room as a shortish delivery at 139 kph seams in sharply. Strikes Pandya on the splice as the ball wanders to the right of the pitch,,2.0,False,1122276,53.2,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"angling into the body again and Pandya clips it, looking a tad uncomfortable, to square leg",,2.0,False,1122276,53.3,1,18065
326016,Bhuvneshwar Kumar,46538,Morne Morkel,"full and outside off against the lower-order batsman. Bhuvi is drawn into a cover drive, and gets an inside edge onto pad. Good on Pandya to spot the opportunity for a quick single",,2.0,False,1122276,53.4,1,18065
625371,Hardik Pandya,46538,Morne Morkel,<b>beats him</b> outside the off stump as Pandya goes searching for a good length ball that deceives him by holding its line,,2.0,False,1122276,53.5,0,18065
625371,Hardik Pandya,46538,Morne Morkel,short-arm pull that scurries away to the boundary at midwicket. <b>Brings up the fifty of the partnership and Pandya has made 47 of those runs</b>. Splendid counterattack,,2.0,False,1122276,53.6,4,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,good shot and the ball screams away through the covers. A 138 kph delivery pitched up to Bhuvi and he ever so elegantly leans into the drive,,2.0,False,1122276,54.1,4,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"glances it away to the long leg boundary. Rabada doesn't like that last boundary, so he puts in a little extra effort, but that takes the ball down leg",,2.0,False,1122276,54.2,4,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"back of a length and outside off, leaves it alone",,2.0,False,1122276,54.3,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"full and outside off, searching for the outside edge, Bhuvi doesn't oblige",,2.0,False,1122276,54.4,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,143kph slips down leg as Bhuvi misses a flick,,2.0,False,1122276,54.5,0,18065
326016,Bhuvneshwar Kumar,550215,Kagiso Rabada,"back of a length and outside off, no shot",,2.0,False,1122276,54.6,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"great running, on the pads from Mahraj. Pandya works him into the gap at square leg for a couple",,2.0,False,1122276,55.1,2,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"six off the second delivery. Charges down at Mahraj, doesn't quite get there but shovels the ball over midwicket",,2.0,False,1122276,55.2,6,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"big, big chance missed! <b>De Kock misses a stumping</b>. Tosses it up wide outside off, beats Pandya in flight, the ball bounces and de Kock can't collect with Pandya stranded",,2.0,False,1122276,55.3,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,,,2.0,False,1122276,55.4,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"the hard sweep. Flat around off, Pandya gets low and absolutely hammers his sweep through square leg. Fierce hit",,2.0,False,1122276,55.5,4,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"flight around off, pushed out to cover",,2.0,False,1122276,55.6,0,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"starts by beating the outside edge. Full delivery outside off, moves away and beats the bat",,2.0,False,1122276,56.1,0,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"good length a tad wider outside off, Bhuvneshwar drives but the ball beats the bat",,2.0,False,1122276,56.2,0,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"through AB for four. Landed in front but went through him as he tried to field. Full outside off, a thick outside edge is slightly wide of AB at gully, to his right",,2.0,False,1122276,56.3,4,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"oooh, is that reverse swing? Good length delivery, he gets that to move back in, pushed to cover",,2.0,False,1122276,56.4,0,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"nicely carved. Full delivery outside off, sliced towards point. Maharaj fumbles",,2.0,False,1122276,56.5,1,18065
625371,Hardik Pandya,47492,Dale Steyn,"back of a length outside off, 137 kph, cut to deep point to retain strike. Are SA now waiting for the break? Stunning counter-attack from Pandya",,2.0,False,1122276,56.6,1,18065
625371,Hardik Pandya,267724,Keshav Maharaj,worked into the massive gap at midwicket for one,,2.0,False,1122276,57.1,1,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"on the pads, 84 kph, worked away to midwicket",,2.0,False,1122276,57.2,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"nicely bowled, a tad flatter outside off, no spin, defended",,2.0,False,1122276,57.3,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"slow around off, 84 kph, blocked",,2.0,False,1122276,57.4,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"too full, smothered",,2.0,False,1122276,57.5,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"beaten on the outside edge. Slow outside off, the ball drops late, draws Bhuvi forward but the ball spins away",,2.0,False,1122276,57.6,0,18065
